Jurisdiction,Year,Category ,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Kent County,2040,Non-Hisp White Male,276,344,320,296,307,311,282,427,324,505,670,560,594,680,667,757,497,366,8183
Anne Arundel County,2030,Total Male,18616,18111,18071,17345,15855,16915,18251,19505,19846,19616,16430,16160,16666,16791,13510,9558,6473,4635,282354
Allegany County,2025,Non-Hisp Other Male,85,78,78,135,151,88,83,70,37,31,34,23,27,22,18,15,8,10,993
Talbot County,2025,Non-Hisp White Female,515,612,613,581,521,565,669,809,896,759,888,1085,1470,1647,1461,1247,892,840,16070
Frederick County,2040,Total Male,11020,11279,11118,10178,7522,8051,9548,12375,11715,10615,8756,7915,7056,7339,6933,7112,5364,4815,158711
Baltimore County,2040,Total Female,25329,25188,25268,25004,26258,27770,28214,27366,27895,28057,28235,27338,25434,23937,23386,21942,17599,19944,454164
Queen Anne's County,2040,Total Non-Hispanic White,2682,3069,3111,2696,1784,1756,2549,3268,3541,3246,3470,3022,2437,2843,3275,3403,2206,2256,50614
Somerset County,2035,Total,1619,1513,1533,1763,1657,1497,1357,1278,1499,1267,1320,1366,1327,1245,1430,1113,743,564,24091
Talbot County,2035,Non-Hisp White Male,643,697,737,661,493,544,642,650,623,819,728,676,845,1128,1364,1231,866,862,14209
Howard County,2035,Total Male,10636,11783,12847,12254,9897,10083,10990,12138,12839,11300,10847,9623,9217,8890,8451,7130,4928,4052,177905
Washington County,2010,Total Non-Hispanic Black,897,910,893,837,594,574,662,675,704,713,578,373,300,199,101,58,44,28,9140
Baltimore County,2010,Total Non-Hispanic White,23354,24087,25724,27059,30438,29967,26454,26326,31259,38661,42823,39025,34114,24259,18457,16851,16052,16080,490990
Harford County,2025,Non-Hisp White Female,4981,4737,4508,4536,4515,5725,6212,6219,5872,5217,5645,6911,8039,7419,6026,4610,3246,3971,98389
Dorchester Co,2025,Hispanic Female,136,134,134,158,126,90,83,87,49,50,24,32,16,16,23,13,15,3,1189
Anne Arundel County,2030,Non-Hisp White Male,9713,9656,9659,9167,8165,9737,11214,12057,12338,11796,9758,10326,11638,12435,10458,7716,5433,4076,175342
Baltimore County,2045,Hispanic Male,2841,2776,2681,2567,2533,2427,2572,2435,2195,2038,2194,2466,2471,2116,1259,844,383,216,37014
Worcester County,2030,Non-Hisp White Female,772,783,922,872,754,1034,947,1061,1234,1219,1219,1665,2247,2492,2080,1569,1199,1066,23135
Talbot County,2045,Total Female,933,1103,1128,1011,857,865,906,1097,1301,1215,1327,1446,1484,1460,1472,1403,1408,1719,22135
Dorchester Co,2045,Non-Hisp Black Male,389,380,419,407,285,241,248,428,491,435,431,475,446,293,206,169,141,97,5981
Talbot County,2010,Total,1861,2091,2061,2117,1725,1803,1610,1907,2272,2763,2763,2806,2892,2755,2111,1559,1176,1127,37399
Worcester County,2020,Total Non-Hispanic White,1518,1577,1852,1888,1628,1777,1859,1857,1898,2290,3027,3993,4142,3625,3275,2535,1582,1321,41644
Dorchester Co,2035,Total Female,1133,1114,1105,1035,1010,1190,1110,942,1174,1260,1330,1215,1318,1232,1299,1071,671,738,19947
Anne Arundel County,2040,Total Non-Hispanic Black,8867,9009,9136,8265,6786,7524,8850,9053,8652,9113,8839,8892,6977,6080,5152,4278,2640,2022,130135
Frederick County,2020,Total Non-Hispanic White,10022,9235,9525,10884,10963,12369,11440,10940,9771,11273,14021,16150,14445,11543,9059,6057,3864,4580,186141
Caroline County,2030,Non-Hisp Black Female,190,159,219,197,206,188,121,158,200,167,206,164,224,222,208,137,79,65,3110
Montgomery County,2010,Total Non-Hispanic Black,11628,11528,12026,11807,10261,11946,12014,12584,13067,12900,11644,8745,6668,4369,3145,2131,1383,1224,159070
Prince George's County,2010,Total Non-Hispanic White,4421,3668,3990,4948,10913,7695,6263,5808,6824,9450,11159,10725,9302,7269,5737,4786,3496,3459,119913
St. Mary's County,2040,Non-Hisp White Male,3360,3481,3599,3066,2440,3037,3414,3712,3637,3635,3564,3250,2452,2100,2288,2165,1345,1138,51683
Calvert County,2040,Hispanic Male,231,218,202,188,131,156,141,173,132,118,132,89,47,40,36,35,8,37,2114
Frederick County,2035,Non-Hisp White Female,5866,5798,5615,4691,3808,5227,7662,7684,6843,5753,5349,4733,5341,6438,7019,6123,4432,5826,104208
Anne Arundel County,2020,Hispanic Male,2339,2427,2309,1875,1640,1706,2019,2324,2034,1573,1185,890,598,372,231,132,83,31,23768
Howard County,2035,Hispanic Male,1556,1441,1323,1230,1242,1404,1305,1254,1119,981,994,1048,811,729,449,275,83,16,17260
State of Maryland,2015,Non-Hisp Other Female,19154,23230,22351,19226,16664,19540,21378,22028,21671,19613,18379,15962,13035,10164,6938,4651,2749,2146,278879
Anne Arundel County,2040,Total,38709,37808,37499,35383,32050,37128,39170,38266,37816,38631,39403,38261,32308,29995,29292,26993,19349,17655,605716
State of Maryland,2040,Non-Hisp White Female,68547,69292,71610,68463,70264,78867,77738,84852,86080,91767,92762,85453,74448,76729,85440,89978,73769,86533,1432592
Anne Arundel County,2020,Non-Hisp Other Female,1447,1482,2277,1976,1637,1517,1431,1698,1646,1552,1272,1240,1129,889,662,404,228,90,22577
Wicomico County,2035,Non-Hisp White Female,1671,1722,1539,1588,2404,2350,2314,2533,2240,2027,1817,1886,1735,1910,2174,1912,1526,1659,35007
Harford County,2035,Total Non-Hispanic White,10085,10216,10131,9463,8344,9244,10974,12718,12639,11939,11229,9547,10034,11617,12862,10517,7784,9898,189241
Worcester County,2025,Non-Hisp Other Female,136,130,174,142,50,45,37,38,51,65,70,53,63,66,46,20,14,4,1204
Allegany County,2045,Non-Hisp White Female,1269,1384,1420,1512,1562,1496,1585,1668,1779,1873,2394,1794,2062,1683,1835,1742,1521,1422,30001
Howard County,2010,Total Non-Hispanic White,7797,10105,12092,11421,8135,9618,8407,9704,12798,16596,16016,14039,11411,7771,4745,3418,2567,2315,168955
State of Maryland,2020,Non-Hisp Black Female,57469,57550,61728,58351,57876,70803,71673,66661,62652,63185,68784,71493,62857,50578,37481,23347,14107,14909,971504
Caroline County,2025,Total Male,1154,1073,1222,1322,962,785,802,1149,1107,976,1074,1229,1205,1158,803,550,275,215,17061
Talbot County,2025,Total Hispanic,312,298,328,307,250,180,167,237,303,227,190,127,104,57,28,22,10,14,3161
Baltimore City,2010,Non-Hisp Other Male,1174,824,656,628,1515,1735,1394,941,710,625,563,462,379,230,172,125,59,49,12241
Queen Anne's County,2025,Hispanic Female,103,93,99,97,72,74,47,63,59,73,58,51,32,9,6,5,5,0,946
Washington County,2025,Total Non-Hispanic White,6997,6611,6111,6945,6894,6547,6061,7037,7335,7092,7673,8874,9559,8516,6915,5579,3387,3316,121449
State of Maryland,2020,Total Female,178547,177046,187236,177542,174743,209978,217297,209806,193030,194947,213575,230486,211050,174997,139756,94986,59223,68974,3113219
Caroline County,2015,Non-Hisp Black Female,133,155,228,128,164,138,123,143,148,160,204,204,188,109,85,56,52,46,2464
Talbot County,2025,Total,1804,1926,1989,2028,1768,1638,1749,2074,2214,1950,2172,2545,3145,3384,3101,2627,1859,1595,39568
Caroline County,2020,Non-Hisp Black Female,135,128,221,187,130,148,136,129,179,142,176,205,237,160,106,66,46,52,2583
Montgomery County,2015,Non-Hisp Black Male,6700,5873,7583,5998,5741,6420,6161,6018,5952,5648,5617,4843,3448,2512,1742,1005,598,446,82305
Calvert County,2030,Hispanic Female,187,204,221,241,236,187,162,165,119,145,139,119,80,98,57,35,19,12,2426
Allegany County,2045,Hispanic Female,48,32,35,39,40,29,40,51,67,45,57,27,19,14,25,10,5,18,601
Montgomery County,2045,Total Non-Hispanic White,15601,14384,15143,15225,14069,19731,20072,17335,15833,17954,23104,25741,22154,17040,16161,17097,16238,21115,323997
St. Mary's County,2025,Non-Hisp Black Female,650,673,664,634,611,626,676,633,683,575,593,679,727,503,306,166,117,115,9631
St. Mary's County,2020,Total Female,3832,3872,4209,3849,3211,3863,4033,4102,3669,3707,4237,4414,3767,2789,2196,1540,905,839,59034
State of Maryland,2025,Total Non-Hispanic Black,123796,121531,127241,122676,112750,122196,138149,134687,124723,114201,114319,120987,122045,101688,74439,51986,28618,26501,1882533
Anne Arundel County,2015,Non-Hisp Other Female,1356,2051,1881,1571,1231,1261,1530,1580,1445,1241,1205,1095,929,667,480,257,168,79,20027
Charles County,2020,Total Non-Hispanic Black,5328,5602,6145,6482,4906,5097,4874,4805,4989,6440,7011,6218,4263,2833,1897,1220,567,465,79142
Anne Arundel County,2045,Total Non-Hispanic Black,9324,9749,9723,8766,7315,7905,9270,9775,9508,8876,9347,9096,8676,6609,5007,4337,3121,2663,139067
Baltimore City,2030,Non-Hisp Black Female,11965,11525,11626,11411,12551,11648,11841,13990,14311,13229,11117,10014,10730,12316,11174,8283,5193,4531,197455
Allegany County,2015,Non-Hisp Other Male,71,127,129,92,103,64,52,47,33,23,29,27,27,28,23,10,5,7,897
Garrett County,2010,Non-Hisp Other Male,13,15,16,14,16,9,5,10,2,10,8,6,8,4,2,2,2,0,142
Frederick County,2010,Total Male,7616,8383,8799,8175,6098,6633,6655,7807,9118,10247,9014,7375,6057,3981,2627,1876,1336,1034,112831
Wicomico County,2035,Total Male,4028,3903,3713,3461,4011,3809,3576,3601,3710,3634,3004,2994,2553,2520,2432,2070,1251,1213,55483
Prince George's County,2025,Non-Hisp White Male,2884,2411,2087,1676,4057,4307,5285,4475,3102,2534,2423,2829,3817,4080,3552,2666,1558,1392,55135
Montgomery County,2030,Total Male,37004,35367,35507,33435,27946,32374,32199,36876,38219,36731,32847,31131,29523,27700,23439,17607,11932,11954,531791
Kent County,2025,Total Hispanic,70,60,56,95,76,67,47,83,92,47,35,20,19,8,2,1,1,0,779
Allegany County,2020,Hispanic Male,91,99,110,189,171,134,70,66,61,45,56,39,40,30,25,12,16,7,1261
Anne Arundel County,2025,Total Male,18102,17646,18219,17316,14941,16840,19184,20025,19769,16533,16599,17810,18628,15835,11784,8891,5231,3664,277017
Somerset County,2010,Total Non-Hispanic Black,470,431,446,801,873,396,349,285,359,423,447,360,299,243,187,150,92,94,6705
Prince George's County,2045,Total Non-Hispanic Black,34845,34189,33878,35437,36032,38806,38493,36649,34039,36982,41032,36227,30483,27025,26086,25715,22511,40920,609349
Kent County,2035,Non-Hisp Black Male,50,45,44,47,47,48,58,65,146,127,158,116,107,117,116,66,48,38,1443
State of Maryland,2015,Total Male,183858,186897,196028,184197,185742,200998,194053,178857,178318,194431,212917,200187,164729,132304,88647,57450,37240,34185,2811038
Garrett County,2040,Non-Hisp Black Male,25,17,12,18,8,2,6,8,4,7,6,2,1,3,3,2,2,2,128
Montgomery County,2045,Total Non-Hispanic Black,18200,17609,19327,17765,16143,17780,19094,18164,22756,18562,18567,18071,14565,11432,10212,8054,6155,6103,278559
Queen Anne's County,2045,Total Non-Hispanic White,2736,3270,3355,2949,2143,1877,2461,3243,3674,3697,3274,3652,3050,2389,2618,3098,2476,2803,52765
Talbot County,2020,Non-Hisp White Female,490,591,656,637,495,603,687,764,748,854,970,1343,1407,1543,1414,1075,694,749,15720
Harford County,2010,Non-Hisp Black Female,1137,1203,1334,1351,987,955,1092,1245,1332,1298,1123,812,644,397,264,221,167,98,15660
Kent County,2020,Total Female,378,439,542,476,323,409,495,403,462,476,718,913,970,938,741,571,345,462,10061
Caroline County,2030,Non-Hisp Other Female,127,95,106,63,54,48,45,36,37,30,27,28,17,16,16,7,4,4,760
State of Maryland,2030,Non-Hisp Black Female,64444,63480,64987,62918,61023,67756,72267,79280,76319,68525,63206,63181,66539,65950,53796,40236,26285,25082,1085274
Anne Arundel County,2045,Non-Hisp Black Male,4780,4983,5101,4619,3611,3704,4503,4525,4582,4150,4515,4227,4120,2869,2033,1635,1141,840,65938
Baltimore City,2015,Non-Hisp White Female,4236,2201,2526,1887,7069,13414,9521,6179,4623,4434,4623,5119,4791,4217,3060,2053,1640,2420,84013
Wicomico County,2040,Total Non-Hispanic Black,2984,2925,3030,2836,3020,2513,2478,2478,2376,2437,2256,1962,1660,1356,1193,1159,698,496,37857
Howard County,2045,Total Male,9925,10583,11643,11950,10346,11106,10985,10653,11352,12246,12634,10810,10132,8621,7469,7036,6092,6193,179776
Worcester County,2040,Total Non-Hispanic White,1672,1826,2191,2134,1860,2027,1935,2167,2337,2536,2977,3354,3503,3857,4013,3751,2533,2356,47029
Montgomery County,2025,Hispanic Male,10161,9381,9375,8831,8769,8035,8373,9048,9902,9065,7852,6490,5202,3606,2199,1372,610,430,118701
Somerset County,2040,Non-Hisp White Female,222,227,239,235,251,234,221,304,281,368,440,485,519,494,421,434,334,272,5981
Prince George's County,2020,Total Non-Hispanic Black,33295,33914,33999,31770,33910,42632,38987,34865,33417,35810,40208,42193,37140,30091,23060,14048,8013,6949,554301
Baltimore County,2015,Non-Hisp White Male,11839,11544,12235,12331,13429,15014,13780,12750,12298,14678,17919,19801,17552,14561,9558,6526,5142,6431,227388
Howard County,2010,Hispanic Female,838,757,738,653,558,713,795,763,690,517,360,269,170,121,82,53,41,38,8156
Washington County,2035,Total Non-Hispanic Black,2186,2063,1973,1778,1482,1394,1461,1516,1510,1284,1206,1315,1237,1058,559,326,142,36,22526
Harford County,2015,Total Female,6885,7618,8119,8302,7202,7361,7821,7624,8065,9354,10695,9907,8171,6832,5037,3194,2509,2819,127515
Worcester County,2030,Non-Hisp Black Male,289,251,252,223,229,224,209,220,165,180,180,134,180,195,208,156,63,64,3422
Dorchester Co,2010,Total Non-Hispanic White,985,1094,1093,1106,1033,1159,1036,1121,1374,1748,1868,1652,1692,1408,1096,780,577,506,21328
Baltimore County,2020,Total Female,23771,24791,26057,23445,26137,29143,28292,28123,26212,26085,28215,31034,30990,26075,20700,13470,9111,13286,434937
Somerset County,2045,Non-Hisp White Male,245,227,258,261,241,236,219,247,350,391,417,462,502,437,379,293,284,238,5687
Worcester County,2015,Hispanic Male,75,87,87,48,69,99,98,83,78,75,49,23,20,17,14,10,7,5,944
Talbot County,2020,Total Non-Hispanic White,1092,1223,1380,1367,999,1088,1339,1422,1347,1609,1811,2402,2536,2772,2637,2099,1303,1249,29675
Harford County,2010,Total Non-Hispanic Black,2340,2493,2719,2769,1863,1751,1919,2289,2494,2453,2124,1577,1173,730,463,362,256,148,29923
Cecil County,2040,Total Female,4332,4432,4091,3800,3427,3844,4598,4276,3657,3422,3585,3355,3587,3559,3637,3458,2616,2608,66284
Harford County,2020,Total Hispanic,1086,1283,1428,1178,1106,962,880,888,801,762,624,501,384,243,177,115,61,38,12517
Baltimore City,2040,Total Hispanic,1957,1694,1727,1985,2547,2884,2205,1589,916,1551,3056,3690,2821,1532,955,423,95,16,31643
Queen Anne's County,2045,Total Non-Hispanic Black,268,256,289,260,227,202,202,238,380,311,350,392,416,395,288,280,209,259,5222
Wicomico County,2010,Non-Hisp Other Male,295,243,231,176,207,132,132,151,135,157,136,94,85,52,32,22,6,2,2288
Anne Arundel County,2020,Non-Hisp Black Female,3232,3340,3398,2997,2752,3410,3963,4147,3549,3451,3629,3729,3065,2264,1553,887,559,568,50493
Cecil County,2040,Total Male,4567,4878,4790,4355,3666,3733,4724,4444,3994,4100,4081,3631,3432,3161,3030,2493,1594,1835,66508
Talbot County,2025,Non-Hisp Black Female,136,131,149,150,164,127,148,145,121,146,164,197,198,216,197,124,125,82,2720
Baltimore City,2025,Non-Hisp Black Female,11517,11572,11322,12553,11642,11843,14065,14611,13544,11527,10476,11375,13403,12591,9851,6693,3978,4161,196724
Caroline County,2030,Total Female,1387,1270,1213,1113,1120,1333,1143,1220,1333,1200,1148,1121,1231,1289,1166,819,546,384,20036
Anne Arundel County,2040,Total Non-Hispanic White,18699,18034,18332,18252,17034,20952,20001,19928,21222,22348,23325,21622,18385,18605,20084,19711,14575,14899,346008
Dorchester Co,2025,Total Hispanic,305,280,254,248,188,151,158,179,166,142,76,67,32,28,32,19,22,9,2356
Kent County,2010,Non-Hisp Black Female,96,66,78,94,105,66,72,65,108,136,139,105,90,124,74,55,39,44,1556
Anne Arundel County,2030,Total Hispanic,5507,5018,4880,5109,4973,4328,3614,3533,4017,4423,3863,3051,2235,1466,1055,678,367,147,58264
Charles County,2020,Non-Hisp Other Female,472,419,718,670,556,510,447,520,505,467,493,463,382,278,181,110,73,22,7286
Harford County,2045,Total Female,8674,8919,9037,8637,7834,8276,8562,9533,9605,10000,9584,8521,7959,6897,6762,6538,6498,10509,152345
Allegany County,2025,Hispanic Male,23,17,22,39,58,28,11,19,18,28,31,19,20,10,10,10,2,2,367
Garrett County,2010,Non-Hisp White Male,763,856,995,1055,787,702,758,841,981,1099,1166,1061,996,844,625,382,237,177,14325
Anne Arundel County,2025,Hispanic Female,2412,2311,2472,2251,2043,1783,1690,1930,2029,1792,1478,1128,845,530,348,225,128,81,25476
Frederick County,2045,Hispanic Female,2123,2048,1977,1815,1659,1481,1524,1545,1450,1487,1179,1072,1062,1050,868,719,557,389,24005
Worcester County,2010,Hispanic Female,93,78,61,46,79,69,72,55,48,35,26,19,14,14,9,7,6,2,733
Allegany County,2015,Non-Hisp Black Female,52,29,30,56,138,90,37,40,37,33,44,33,56,34,12,14,15,21,771
Anne Arundel County,2035,Non-Hisp Black Male,4242,4363,4572,4097,3251,3226,3830,3825,4248,4004,4178,3240,2907,2609,2022,1395,726,488,57223
Baltimore City,2035,Total Non-Hispanic Black,23311,23915,23133,23230,22422,24046,21992,21928,25890,26269,23824,20112,16951,16835,17631,14667,9413,7607,363176
Anne Arundel County,2015,Total Male,17981,17956,18033,17034,15817,18314,19702,16918,16910,18636,20939,19408,15837,13198,9027,5432,3433,2820,267395
Baltimore County,2040,Total Non-Hispanic White,16956,16486,16320,16802,18233,19151,18496,19063,19965,21031,22964,22652,20663,19642,21316,22175,18793,21235,351943
Baltimore City,2020,Total Hispanic,2592,3171,2701,1865,958,1586,3123,3859,3186,2235,1587,1169,775,439,319,128,30,18,29741
Prince George's County,2010,Hispanic Female,7022,5558,4469,4086,5334,6520,6445,5036,4016,3174,2210,1607,1085,638,430,327,180,128,58265
St. Mary's County,2010,Total Non-Hispanic White,5231,5353,5551,5186,4484,5155,4817,5147,6214,7109,6321,5044,4131,3010,2161,1445,972,880,78211
Baltimore County,2030,Total Non-Hispanic White,16954,17262,19184,19136,18939,20662,20882,22208,24188,23983,22387,22442,26034,29814,29061,22807,16511,16632,389086
Harford County,2025,Total,15936,15242,15006,15755,14157,16137,17383,17062,16307,14388,15290,17356,19193,17020,13018,9542,6207,6266,261265
Dorchester Co,2010,Non-Hisp Black Male,356,304,282,350,256,180,178,226,264,307,325,280,226,137,97,90,60,37,3955
Baltimore City,2015,Non-Hisp Other Female,988,1040,790,715,1217,2056,1911,1373,1081,789,683,634,526,429,334,204,129,106,15005
Garrett County,2045,Non-Hisp Black Female,58,44,47,53,87,39,8,9,3,2,3,3,0,0,1,0,0,0,357
Prince George's County,2020,Total Female,28181,27878,26953,25092,28236,35377,34625,31150,30124,29961,31937,33143,30044,25120,19343,12653,7511,7702,465030
Frederick County,2020,Total Female,7705,7143,7718,8244,7898,8707,8194,8023,7616,8350,9667,10373,8955,6982,5476,3798,2423,3261,130533
Charles County,2010,Total Male,4820,5288,5964,5824,4238,3993,3877,4676,5846,6353,5499,4139,3378,2451,1552,989,576,379,69842
Frederick County,2045,Total Female,10238,10468,10918,10265,9166,9088,9059,10567,12464,12269,10863,8922,8122,7291,7468,7947,7540,9883,172538
Montgomery County,2045,Total,75936,74788,76045,71487,64790,71974,75604,73379,76944,72337,74982,77517,71599,60975,54818,48010,39526,46952,1207663
Caroline County,2040,Non-Hisp Black Male,221,236,210,181,139,132,146,176,122,154,191,222,160,205,246,177,119,53,3090
Worcester County,2020,Total Female,1130,1126,1346,1339,1109,1259,1314,1284,1303,1451,1825,2436,2559,2234,1986,1557,983,887,27128
St. Mary's County,2015,Non-Hisp White Male,2695,2733,2835,2564,2193,2785,2828,2575,2551,3088,3756,3160,2245,1849,1338,862,464,378,40899
Talbot County,2025,Non-Hisp Black Male,121,155,172,162,160,120,127,107,113,112,146,171,205,145,125,104,54,44,2343
Garrett County,2040,Total Non-Hispanic White,1363,1491,1600,1557,1372,1275,1471,1782,1978,1785,1756,1921,1819,1905,1813,1688,1206,1032,28814
Carroll County,2015,Hispanic Male,279,272,239,234,271,260,270,190,185,188,154,111,73,24,18,17,6,17,2808
Baltimore City,2025,Total Non-Hispanic Black,23260,23377,22857,24851,22681,22008,25308,26233,25216,22087,19397,20901,23359,21159,15716,10553,5955,5824,360742
Carroll County,2020,Non-Hisp Other Male,322,313,358,353,188,172,202,136,115,173,201,242,170,119,62,26,12,7,3171
Baltimore City,2025,Non-Hisp White Female,5088,3191,2520,1684,5930,9496,10855,9891,6920,4913,3919,3704,3697,3811,3286,2620,1629,1538,84692
Baltimore City,2025,Non-Hisp White Male,5377,3292,2492,1640,5010,9796,11608,10497,7299,5204,4044,3979,4076,3622,3042,2273,1204,818,85273
Howard County,2020,Total Male,10499,11404,11859,11692,9767,11529,10366,10398,9806,10109,11021,11966,10374,7994,6062,4089,2383,1759,163077
Talbot County,2030,Hispanic Male,154,140,134,140,153,129,100,93,146,176,117,110,64,33,16,8,8,15,1736
Worcester County,2045,Total Non-Hispanic Black,611,589,701,651,566,503,536,669,583,525,524,404,388,387,297,350,319,308,8911
Allegany County,2030,Total,3291,3614,3669,3412,3924,3625,4185,4931,3979,4117,3653,4052,4465,4637,4190,3306,2365,1894,67309
Worcester County,2020,Non-Hisp Black Female,196,182,292,254,229,233,236,211,202,159,217,301,277,248,206,154,115,91,3803
Dorchester Co,2040,Total,2305,2343,2330,2078,1851,1933,2245,2306,2169,2437,2674,2767,2396,2184,2185,1888,1405,1287,38783
Cecil County,2035,Non-Hisp White Female,3017,3012,2630,2351,2451,3564,3273,2529,2437,2557,2564,2790,3218,3524,3336,2874,2065,1966,50158
Cecil County,2010,Non-Hisp Black Female,205,208,268,259,198,169,220,212,227,247,216,163,112,61,53,49,21,23,2911
Allegany County,2025,Hispanic Female,42,23,29,35,46,29,40,38,30,26,37,10,7,7,11,10,4,9,433
St. Mary's County,2020,Non-Hisp White Female,2696,2618,2742,2542,2188,2736,3014,3044,2727,2772,3181,3370,2899,2223,1778,1304,781,709,43324
State of Maryland,2035,Total Hispanic,67676,62504,60198,57594,60058,57205,55613,48338,50322,55543,58154,52731,42189,31215,21474,13925,7220,3692,805651
Talbot County,2010,Total Non-Hispanic White,1199,1469,1536,1541,1152,1188,1125,1452,1768,2224,2258,2332,2511,2446,1878,1389,1069,1027,29564
Dorchester Co,2045,Hispanic Female,220,220,201,173,142,137,142,168,68,47,35,38,18,18,10,10,10,2,1659
Garrett County,2030,Total,1601,1673,1686,1613,1609,1623,1787,1792,1705,1818,1807,2024,2193,2322,2018,1508,1026,803,30608
Garrett County,2020,Non-Hisp Other Female,24,26,45,34,15,15,23,11,9,3,12,9,12,9,5,4,0,5,261
Allegany County,2035,Total Hispanic,91,62,54,51,73,65,62,62,79,63,52,50,58,23,26,18,10,16,915
Caroline County,2035,Non-Hisp Other Female,105,108,124,84,37,60,49,49,40,38,31,26,20,14,15,10,5,3,818
Harford County,2030,Total Female,8097,8057,7777,7242,7049,7927,9269,9560,8695,8268,7515,7862,8904,9606,8417,6034,4607,5314,140200
St. Mary's County,2040,Hispanic Male,475,442,412,367,340,414,359,299,272,298,299,313,268,78,56,41,21,2,4756
Wicomico County,2025,Non-Hisp White Male,1650,1472,1299,1754,2791,2185,1902,1967,1669,1910,1697,1852,2026,2139,1686,1288,778,722,30787
St. Mary's County,2025,Total Male,4426,4306,4555,4420,3520,4105,4259,4383,4301,3652,3546,4064,4251,3160,2120,1535,911,689,62203
Dorchester Co,2040,Non-Hisp Black Female,384,360,422,375,337,337,455,338,363,414,445,388,422,378,354,299,212,369,6652
Allegany County,2020,Non-Hisp Other Male,81,69,67,67,67,67,113,87,39,43,39,39,50,39,48,37,20,38,1010
Charles County,2045,Non-Hisp Other Female,858,958,1035,1019,738,706,616,1030,1033,995,795,607,608,552,466,431,357,76,12880
Allegany County,2015,Total Hispanic,68,62,82,72,82,64,36,52,68,33,30,24,22,20,13,10,5,10,753
Caroline County,2030,Hispanic Female,273,227,173,178,148,207,138,113,90,42,46,37,16,10,14,11,4,4,1731
Carroll County,2010,Non-Hisp Other Female,311,344,287,238,130,123,132,217,183,179,161,110,92,72,49,18,17,12,2675
Garrett County,2030,Total Female,823,875,867,795,766,819,906,895,858,953,915,1043,1113,1145,1012,813,589,501,15688
Talbot County,2015,Non-Hisp Other Male,26,72,60,48,46,34,37,27,32,35,25,26,19,15,10,7,7,2,528
Dorchester Co,2045,Non-Hisp White Female,495,575,553,498,468,578,591,571,649,547,890,787,957,749,743,651,516,565,11383
Frederick County,2030,Total,20680,19518,16755,15023,15374,21565,22435,21032,17680,16443,15254,16524,18031,19116,15117,11235,8416,7839,298037
Baltimore City,2035,Non-Hisp White Female,4781,3394,3304,2478,6208,9213,9610,7187,8146,8053,5930,4148,3173,2804,2584,2422,1795,1591,86821
Baltimore City,2040,Total Non-Hispanic White,10105,6590,6426,5461,13567,22214,16511,17001,13444,15735,15204,10973,7493,5315,4517,3960,3038,2652,180206
Washington County,2025,Total Male,5332,5092,4809,5345,4885,4461,3965,4221,4496,4468,4686,5227,5335,4499,3427,2550,1529,1326,75653
St. Mary's County,2030,Total Non-Hispanic White,6430,6177,6180,5550,5022,6331,6530,7090,7048,6511,5603,5374,5871,6035,4794,3478,2351,1940,98315
Washington County,2045,Total Male,6485,6566,6596,6463,5897,5619,5091,5803,5800,5026,4498,4478,4393,3886,3425,3122,2497,2529,88174
St. Mary's County,2010,Non-Hisp White Female,2578,2690,2705,2517,2261,2492,2409,2667,3158,3411,3071,2508,2085,1491,1085,791,553,577,39049
Frederick County,2025,Non-Hisp Black Female,1131,959,1051,903,858,995,1083,1005,964,963,1037,1033,947,681,490,317,196,178,14791
Prince George's County,2030,Non-Hisp Other Female,2175,1838,1645,1670,2591,3025,2568,2712,2567,2435,2585,2334,2006,1636,1379,1157,663,456,35442
Caroline County,2025,Total Non-Hispanic Black,315,291,353,371,336,219,229,272,305,329,302,345,403,423,309,171,93,72,5138
Baltimore City,2020,Non-Hisp Other Male,1019,676,786,783,985,1121,1669,1424,1171,955,734,651,560,363,214,100,25,5,13241
Talbot County,2045,Hispanic Male,178,172,165,146,127,116,124,143,127,94,86,126,156,57,39,22,18,24,1920
Allegany County,2025,Total Non-Hispanic White,2968,3283,2986,3165,3343,3108,4507,3431,3736,3215,3754,4228,4668,4543,3713,3077,1925,1707,61357
Caroline County,2025,Non-Hisp Other Male,39,21,18,102,55,34,40,30,30,15,12,18,11,13,11,7,3,2,461
St. Mary's County,2040,Non-Hisp Black Female,893,945,952,890,761,776,773,874,860,1028,928,865,694,596,577,388,257,197,13254
Dorchester Co,2045,Total,2301,2422,2468,2226,1875,1936,2034,2521,2467,2272,2625,2796,2875,2198,2035,1722,1372,1518,39663
Harford County,2030,Hispanic Male,645,672,662,709,847,753,709,542,461,468,415,373,277,198,163,91,60,21,8066
Carroll County,2015,Total Non-Hispanic Black,250,243,349,372,350,269,281,245,437,414,422,479,296,265,184,109,48,45,5058
Washington County,2010,Non-Hisp White Female,3209,3420,3653,3506,3353,3537,3401,3905,4523,5060,4783,4389,3906,3005,2427,2079,1671,1592,61419
Caroline County,2035,Total Non-Hispanic Black,415,400,443,371,340,349,322,253,324,381,401,382,345,426,472,347,199,122,6292
Allegany County,2035,Hispanic Male,37,31,27,22,30,30,20,18,16,24,24,32,33,15,19,9,3,2,392
